scenario,strat,success,total_message_count,numb_of_a_constraints_present,numb_of_a_that_are_constraints_discovered,numb_of_b_constraints_present,numb_of_b_that_are_constraints_discovered
column,random,True,39,0,0,0,0
column,constraint,True,7,5,2,0,0
column,random,True,2,0,0,0,0
column,constraint,True,106,5,5,0,0
column,random,True,75,0,0,0,0
column,constraint,True,348,5,5,0,0
column,random,True,446,0,0,0,0
column,constraint,True,113,5,5,0,0
column,random,True,79,0,0,0,0
column,constraint,True,93,5,5,0,0
column,random,True,46,0,0,0,0
column,constraint,True,12,5,3,0,0
column,random,True,20,0,0,0,0
column,constraint,True,17,5,3,0,0
column,random,True,69,0,0,0,0
column,constraint,True,68,5,5,0,0
column,random,True,77,0,0,0,0
column,constraint,True,115,5,5,0,0
column,random,True,232,0,0,0,0
column,constraint,True,38,5,5,0,0
column,random,True,289,0,0,0,0
column,constraint,True,34,5,5,0,0
column,random,True,43,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,43,0,0,0,0
column,constraint,True,20,5,3,0,0
column,random,True,76,0,0,0,0
column,constraint,True,49,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,58,5,5,0,0
column,random,True,198,0,0,0,0
column,constraint,True,62,5,5,0,0
column,random,True,39,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,297,0,0,0,0
column,constraint,True,25,5,5,0,0
column,random,True,35,0,0,0,0
column,constraint,True,323,5,5,0,0
column,random,True,85,0,0,0,0
column,constraint,True,64,5,5,0,0
column,random,True,122,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,29,0,0,0,0
column,constraint,True,275,5,5,0,0
column,random,True,34,0,0,0,0
column,constraint,True,26,5,5,0,0
column,random,True,144,0,0,0,0
column,constraint,True,30,5,5,0,0
column,random,True,155,0,0,0,0
column,constraint,True,15,5,3,0,0
column,random,True,38,0,0,0,0
column,constraint,True,43,5,5,0,0
column,random,True,212,0,0,0,0
column,constraint,True,233,5,5,0,0
column,random,True,58,0,0,0,0
column,constraint,True,7,5,1,0,0
column,random,True,113,0,0,0,0
column,constraint,True,21,5,3,0,0
column,random,True,21,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,23,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,240,0,0,0,0
column,constraint,True,13,5,2,0,0
column,random,True,96,0,0,0,0
column,constraint,True,7,5,1,0,0
column,random,True,20,0,0,0,0
column,constraint,True,15,5,4,0,0
column,random,True,38,0,0,0,0
column,constraint,True,25,5,4,0,0
column,random,True,39,0,0,0,0
column,constraint,True,219,5,5,0,0
column,random,True,206,0,0,0,0
column,constraint,True,74,5,5,0,0
column,random,True,410,0,0,0,0
column,constraint,True,46,5,5,0,0
column,random,True,144,0,0,0,0
column,constraint,True,18,5,3,0,0
column,random,True,37,0,0,0,0
column,constraint,True,126,5,5,0,0
column,random,True,46,0,0,0,0
column,constraint,True,73,5,5,0,0
column,random,True,8,0,0,0,0
column,constraint,True,82,5,5,0,0
column,random,True,149,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,True,121,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,75,0,0,0,0
column,constraint,False,501,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,5,5,1,0,0
column,random,True,134,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,336,0,0,0,0
column,constraint,True,26,5,5,0,0
column,random,True,16,0,0,0,0
column,constraint,True,35,5,4,0,0
column,random,True,210,0,0,0,0
column,constraint,True,33,5,5,0,0
column,random,True,132,0,0,0,0
column,constraint,True,43,5,5,0,0
column,random,True,156,0,0,0,0
column,constraint,True,156,5,5,0,0
column,random,True,37,0,0,0,0
column,constraint,True,23,5,5,0,0
column,random,True,56,0,0,0,0
column,constraint,True,142,5,5,0,0
column,random,True,107,0,0,0,0
column,constraint,True,193,5,5,0,0
column,random,True,3,0,0,0,0
column,constraint,True,20,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,220,5,5,0,0
column,random,True,149,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,12,0,0,0,0
column,constraint,True,137,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,178,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,274,0,0,0,0
column,constraint,True,46,5,5,0,0
column,random,True,422,0,0,0,0
column,constraint,False,501,5,5,0,0
column,random,True,124,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,38,5,5,0,0
column,random,True,11,0,0,0,0
column,constraint,True,89,5,5,0,0
column,random,True,259,0,0,0,0
column,constraint,True,5,5,1,0,0
column,random,True,53,0,0,0,0
column,constraint,True,56,5,5,0,0
column,random,True,51,0,0,0,0
column,constraint,True,145,5,5,0,0
column,random,True,40,0,0,0,0
column,constraint,True,123,5,5,0,0
column,random,True,65,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,120,0,0,0,0
column,constraint,True,116,5,5,0,0
column,random,True,319,0,0,0,0
column,constraint,True,136,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,117,5,5,0,0
column,random,True,134,0,0,0,0
column,constraint,True,237,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,102,5,5,0,0
column,random,True,34,0,0,0,0
column,constraint,True,21,5,4,0,0
column,random,True,18,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,332,0,0,0,0
column,constraint,True,75,5,5,0,0
column,random,True,68,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,388,0,0,0,0
column,constraint,True,126,5,5,0,0
column,random,True,150,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,140,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,True,42,0,0,0,0
column,constraint,True,57,5,5,0,0
column,random,True,265,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,412,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,183,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,16,0,0,0,0
column,constraint,True,3,5,0,0,0
column,random,True,194,0,0,0,0
column,constraint,True,153,5,5,0,0
column,random,True,222,0,0,0,0
column,constraint,True,324,5,5,0,0
column,random,True,399,0,0,0,0
column,constraint,True,275,5,5,0,0
column,random,True,32,0,0,0,0
column,constraint,True,152,5,5,0,0
column,random,True,213,0,0,0,0
column,constraint,True,36,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,82,5,5,0,0
column,random,True,152,0,0,0,0
column,constraint,True,8,5,2,0,0
column,random,True,64,0,0,0,0
column,constraint,True,64,5,5,0,0
column,random,True,28,0,0,0,0
column,constraint,True,18,5,4,0,0
column,random,True,84,0,0,0,0
column,constraint,True,10,5,2,0,0
column,random,True,16,0,0,0,0
column,constraint,True,292,5,5,0,0
column,random,True,47,0,0,0,0
column,constraint,True,153,5,5,0,0
column,random,True,21,0,0,0,0
column,constraint,True,129,5,5,0,0
column,random,True,88,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,60,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,27,0,0,0,0
column,constraint,True,57,5,5,0,0
column,random,True,302,0,0,0,0
column,constraint,True,129,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,3,5,0,0,0
column,random,True,207,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,288,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,262,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,138,0,0,0,0
column,constraint,True,121,5,5,0,0
column,random,True,340,0,0,0,0
column,constraint,True,189,5,5,0,0
column,random,True,280,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,27,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,32,0,0,0,0
column,constraint,True,142,5,5,0,0
column,random,True,131,0,0,0,0
column,constraint,True,12,5,2,0,0
column,random,True,166,0,0,0,0
column,constraint,True,154,5,5,0,0
column,random,True,56,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,62,0,0,0,0
