n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,bin_a,asym_difficulty
7.0,9.0,0.0,0.0,0.0,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,3.0,0.6666666666666666,1.0,4782969.0,279936.0,279936.0,0.058527663465935076,1.0,"(0.05, 0.1]",-0.9414723365340649
7.0,9.0,0.0,4.0,1.0,0.2222222222222222,4782969.0,4623225.0,4623225.0,0.966601497939878,1.0,"(0.95, 1.0]",-0.03339850206012196
7.0,9.0,0.0,6.0,0.1111111111111111,0.5555555555555556,4782969.0,828873.0,828873.0,0.17329675354366714,1.0,"(0.15, 0.2]",-0.8267032464563329
7.0,9.0,0.0,2.0,0.4444444444444444,0.6666666666666666,4782969.0,3882417.0,3882417.0,0.8117169481968208,1.0,"(0.8, 0.85]",-0.18828305180317917
7.0,9.0,1.0,0.0,0.3333333333333333,0.8888888888888888,162681.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.1111111111111111,1401.0,4782968.0,1400.0,0.9992862241256244,0.0002927052825776798,"(0.95, 1.0]",0.9989935188430468
7.0,9.0,1.0,2.0,0.8888888888888888,0.4444444444444444,1.0,4554697.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,1.0,0.2222222222222222,0.3333333333333333,4782969.0,4781568.0,4781568.0,0.9997070857034616,1.0,"(0.95, 1.0]",-0.0002929142965384379
7.0,9.0,0.0,3.0,0.7777777777777777,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,4.0,1.0,0.3333333333333333,4782969.0,4085625.0,4085625.0,0.8542026929298517,1.0,"(0.85, 0.9]",-0.14579730707014826
7.0,9.0,0.0,6.0,0.1111111111111111,0.6666666666666666,4782969.0,216513.0,216513.0,0.045267489711934165,1.0,"(-0.001, 0.05]",-0.9547325102880658
7.0,9.0,0.0,2.0,0.4444444444444444,0.7777777777777777,4782969.0,2470629.0,2470629.0,0.5165471488525224,1.0,"(0.5, 0.55]",-0.4834528511474776
7.0,9.0,1.0,0.0,0.3333333333333333,1.0,162681.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,1.0,0.2222222222222222,0.4444444444444444,4782969.0,4763648.0,4763648.0,0.995960458869794,1.0,"(0.95, 1.0]",-0.0040395411302059925
7.0,9.0,0.0,0.0,0.0,0.1111111111111111,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,2.0,0.8888888888888888,0.5555555555555556,1.0,4554697.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.2222222222222222,1401.0,4782912.0,1344.0,0.9593147751605996,0.0002810003612861788,"(0.95, 1.0]",0.9590337747993134
7.0,9.0,0.0,3.0,0.7777777777777777,0.1111111111111111,4782969.0,4780782.0,4780782.0,0.9995427526291724,1.0,"(0.95, 1.0]",-0.00045724737082764033
7.0,9.0,0.0,4.0,1.0,0.4444444444444444,4782969.0,2965625.0,2965625.0,0.6200385158256305,1.0,"(0.6, 0.65]",-0.3799614841743695
7.0,9.0,1.0,0.0,0.4444444444444444,0.0,19321.0,4782969.0,19321.0,1.0,0.0040395411302059465,"(0.95, 1.0]",0.995960458869794
7.0,9.0,0.0,2.0,0.4444444444444444,0.8888888888888888,4782969.0,823543.0,823543.0,0.1721823829508408,1.0,"(0.15, 0.2]",-0.8278176170491592
7.0,9.0,1.0,2.0,0.8888888888888888,0.6666666666666666,1.0,3882417.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,0.0,0.0,0.2222222222222222,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1401.0,4781568.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,6.0,0.1111111111111111,0.7777777777777777,4782969.0,32805.0,32805.0,0.006858710562414266,1.0,"(-0.001, 0.05]",-0.9931412894375857
7.0,9.0,0.0,1.0,0.2222222222222222,0.5555555555555556,4782969.0,4763648.0,4763648.0,0.995960458869794,1.0,"(0.95, 1.0]",-0.0040395411302059925
7.0,9.0,0.0,4.0,1.0,0.5555555555555556,4782969.0,2965625.0,2965625.0,0.6200385158256305,1.0,"(0.6, 0.65]",-0.3799614841743695
7.0,9.0,1.0,0.0,0.4444444444444444,0.1111111111111111,19321.0,4782968.0,19320.0,0.9999482428445732,0.004039332899571982,"(0.95, 1.0]",0.9959089099450011
7.0,9.0,0.0,3.0,0.7777777777777777,0.2222222222222222,4782969.0,4750164.0,4750164.0,0.9931412894375856,1.0,"(0.95, 1.0]",-0.006858710562414383
