,n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b
0,6.0,5.0,0.0,0.0,0.0,0.0,15625.0,15625.0,15625.0,1.0,1.0
1,6.0,5.0,0.0,0.0,0.0,0.1111111111111111,15625.0,15625.0,15625.0,1.0,1.0
2,6.0,5.0,0.0,0.0,0.0,0.2222222222222222,15625.0,15625.0,15625.0,1.0,1.0
3,6.0,5.0,0.0,0.0,0.0,0.3333333333333333,15625.0,15625.0,15625.0,1.0,1.0
4,6.0,5.0,0.0,0.0,0.0,0.4444444444444444,15625.0,15625.0,15625.0,1.0,1.0
5,6.0,5.0,0.0,0.0,0.0,0.5555555555555556,15625.0,15625.0,15625.0,1.0,1.0
6,6.0,5.0,0.0,0.0,0.0,0.6666666666666666,15625.0,15625.0,15625.0,1.0,1.0
7,6.0,5.0,0.0,0.0,0.0,0.7777777777777777,15625.0,15625.0,15625.0,1.0,1.0
8,6.0,5.0,0.0,0.0,0.0,0.8888888888888888,15625.0,15625.0,15625.0,1.0,1.0
9,6.0,5.0,0.0,0.0,0.0,1.0,15625.0,15625.0,15625.0,1.0,1.0
10,6.0,5.0,0.0,0.0,0.1111111111111111,0.0,15625.0,15625.0,15625.0,1.0,1.0
11,6.0,5.0,0.0,0.0,0.1111111111111111,0.1111111111111111,15625.0,15625.0,15625.0,1.0,1.0
12,6.0,5.0,0.0,0.0,0.1111111111111111,0.2222222222222222,15625.0,15625.0,15625.0,1.0,1.0
13,6.0,5.0,0.0,0.0,0.1111111111111111,0.3333333333333333,15625.0,15625.0,15625.0,1.0,1.0
14,6.0,5.0,0.0,0.0,0.1111111111111111,0.4444444444444444,15625.0,15625.0,15625.0,1.0,1.0
15,6.0,5.0,0.0,0.0,0.1111111111111111,0.5555555555555556,15625.0,15625.0,15625.0,1.0,1.0
16,6.0,5.0,0.0,0.0,0.1111111111111111,0.6666666666666666,15625.0,15625.0,15625.0,1.0,1.0
17,6.0,5.0,0.0,0.0,0.1111111111111111,0.7777777777777777,15625.0,15625.0,15625.0,1.0,1.0
18,6.0,5.0,0.0,0.0,0.1111111111111111,0.8888888888888888,15625.0,15625.0,15625.0,1.0,1.0
19,6.0,5.0,0.0,0.0,0.1111111111111111,1.0,15625.0,15625.0,15625.0,1.0,1.0
20,6.0,5.0,0.0,0.0,0.2222222222222222,0.0,15625.0,15625.0,15625.0,1.0,1.0
21,6.0,5.0,0.0,0.0,0.2222222222222222,0.1111111111111111,15625.0,15625.0,15625.0,1.0,1.0
22,6.0,5.0,0.0,0.0,0.2222222222222222,0.2222222222222222,15625.0,15625.0,15625.0,1.0,1.0
23,6.0,5.0,0.0,0.0,0.2222222222222222,0.3333333333333333,15625.0,15625.0,15625.0,1.0,1.0
24,6.0,5.0,0.0,0.0,0.2222222222222222,0.4444444444444444,15625.0,15625.0,15625.0,1.0,1.0
25,6.0,5.0,0.0,0.0,0.2222222222222222,0.5555555555555556,15625.0,15625.0,15625.0,1.0,1.0
26,6.0,5.0,0.0,0.0,0.2222222222222222,0.6666666666666666,15625.0,15625.0,15625.0,1.0,1.0
27,6.0,5.0,0.0,0.0,0.2222222222222222,0.7777777777777777,15625.0,15625.0,15625.0,1.0,1.0
28,6.0,5.0,0.0,0.0,0.2222222222222222,0.8888888888888888,15625.0,15625.0,15625.0,1.0,1.0
