constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
1,0.0,0.8888888888888888,4941258,2222,1242,0.0002513529955327166,0.5589558955895589,0.00014049523872710802,Enumeration,8cce13a3-1
18,0.0,0.3333333333333333,172800,213811,956,0.005532407407407408,0.004471238617283489,2.473671364654523e-05,Enumeration,87f249a0-18
20,0.0,0.0,86400,138240,540,0.00625,0.00390625,2.44140625e-05,Random,87f249a0-20
6,0.0,0.0,2016840,2222640,661500,0.32798833819241985,0.2976190476190476,0.0976155768429821,Random,8cce13a3-6
3,0.0,0.0,3529470,3630312,2222640,0.6297376093294461,0.6122448979591837,0.38555363836496703,Random,f314817c-3
7,0.0,0.7777777777777777,1613472,46097,166,0.00010288371908530176,0.003601102023992885,3.704947690339955e-07,Enumeration,8cce13a3-7
5,0.0,0.2222222222222222,2521050,2592818,1102238,0.4372138593046548,0.4251119824067868,0.18586485046472376,Enumeration,87f249a0-5
7,0.0,0.2222222222222222,1613472,1852015,352615,0.2185442325618294,0.19039532617176427,0.04160980044156742,Enumeration,8cce13a3-7
6,0.0,0.2222222222222222,2016840,2222455,661315,0.32789661053925945,0.29756058052918954,0.09756910578561563,Enumeration,d9669406-6
23,0.0,0.3333333333333333,48000,64491,1,2.0833333333333333e-05,1.5506039602425147e-05,3.230424917171905e-10,Enumeration,87f249a0-23
5,0.0,0.3333333333333333,2521050,2545408,1056361,0.4190162828979989,0.4150065529769687,0.17389450320672087,Random,d9669406-5
14,0.0,0.3333333333333333,453600,495359,6705,0.014781746031746031,0.013535637789966469,0.00020008036018898847,Random,87f249a0-14
2,0.0,0.6666666666666666,4117715,475233,196078,0.04761815715754976,0.4125934015525016,0.019646937437295058,Enumeration,d9669406-2
5,0.5555555555555556,0.6666666666666666,1497553,369172,10076,0.0067283094488141655,0.027293510883815673,0.00018363918717088928,Random,87f249a0-5
12,0.6666666666666666,0.5555555555555556,262742,389634,0,0.0,0.0,0.0,Random,d9669406-12
19,0.0,0.3333333333333333,129600,171054,195,0.0015046296296296294,0.0011399908800729596,1.7152640556653324e-06,Random,87f249a0-19
21,0.0,0.1111111111111111,72000,103680,270,0.00375,0.0026041666666666665,9.765625e-06,Enumeration,87f249a0-21
3,0.0,0.1111111111111111,3529470,3630312,2222640,0.6297376093294461,0.6122448979591837,0.38555363836496703,Enumeration,87f249a0-3
11,0.6666666666666666,0.1111111111111111,305171,945000,705,0.0023101801940551363,0.000746031746031746,1.7234677638189114e-06,Random,d9669406-11
16,0.2222222222222222,0.5555555555555556,302400,183298,0,0.0,0.0,0.0,Random,87f249a0-16
9,0.0,0.4444444444444444,1185408,1157496,84728,0.07147581254724111,0.0731993890259664,0.005231985808592553,Enumeration,8cce13a3-9
21,0.0,0.4444444444444444,72000,97344,0,0.0,0.0,0.0,Random,87f249a0-21
12,0.3333333333333333,0.5555555555555556,634171,389634,1184,0.0018670043253318114,0.003038749185132714,5.673357872241294e-06,Random,d9669406-12
13,0.0,0.6666666666666666,544320,107473,0,0.0,0.0,0.0,Random,87f249a0-13
