id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,n_constraints,n_constraints_discovered,n_constraints_opponent_discovered,strat,utility,opponent_utility,opponent_strat
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,6,0.0,0.0,768,720,72,0.09375,0.1,0.009375,True,2,6,0,0,Enumeration,85.8,-799.8,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,8,0.0,1.0,432,1,0,0.0,0.0,0.0,False,4,8,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,13,0.0,1.0,48,1,0,0.0,0.0,0.0,True,3,13,0,0,Enumeration,-596.8000000000001,62.800000000000004,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,False,4,3,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,0.0,1.0,64,1,0,0.0,0.0,0.0,True,3,12,0,0,Random,-592.0,65.80000000000001,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,9,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,9,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,True,3,0,0,0,Enumeration,41.6,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,8,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,8,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,1,1.0,0.0,1,2500,0,0.0,0.0,0.0,False,4,1,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,1.0,0.0,1,216,0,0.0,0.0,0.0,False,2,10,0,0,Random,-16777216.0,-16777216.0,Random
